city,year,weekofyear,total_cases
sj,2008,18,28
sj,2008,19,18
sj,2008,20,11
sj,2008,21,17
sj,2008,22,17
sj,2008,23,33
sj,2008,24,24
sj,2008,25,21
sj,2008,26,18
sj,2008,27,23
sj,2008,28,27
sj,2008,29,24
sj,2008,30,12
sj,2008,31,35
sj,2008,32,36
sj,2008,33,30
sj,2008,34,17
sj,2008,35,33
sj,2008,36,50
sj,2008,37,22
sj,2008,38,47
sj,2008,39,46
sj,2008,40,40
sj,2008,41,51
sj,2008,42,57
sj,2008,43,59
sj,2008,44,56
sj,2008,45,63
sj,2008,46,62
sj,2008,47,61
sj,2008,48,58
sj,2008,49,44
sj,2008,50,46
sj,2008,51,53
sj,2008,52,43
sj,2009,1,19
sj,2009,2,31
sj,2009,3,24
sj,2009,4,27
sj,2009,5,24
sj,2009,6,24
sj,2009,7,19
sj,2009,8,16
sj,2009,9,14
sj,2009,10,19
sj,2009,11,12
sj,2009,12,8
sj,2009,13,13
sj,2009,14,7
sj,2009,15,10
sj,2009,16,7
sj,2009,17,12
sj,2009,18,8
sj,2009,19,7
sj,2009,20,8
sj,2009,21,3
sj,2009,22,16
sj,2009,23,10
sj,2009,24,10
sj,2009,25,16
sj,2009,26,15
sj,2009,27,15
sj,2009,28,13
sj,2009,29,16
sj,2009,30,14
sj,2009,31,12
sj,2009,32,27
sj,2009,33,27
sj,2009,34,36
sj,2009,35,35
sj,2009,36,26
sj,2009,37,31
sj,2009,38,28
sj,2009,39,45
sj,2009,40,52
sj,2009,41,43
sj,2009,42,37
sj,2009,43,47
sj,2009,44,49
sj,2009,45,53
sj,2009,46,41
sj,2009,47,63
sj,2009,48,56
sj,2009,49,49
sj,2009,50,57
sj,2009,51,40
sj,2009,52,55
sj,2010,53,43
sj,2010,1,24
sj,2010,2,38
sj,2010,3,13
sj,2010,4,29
sj,2010,5,23
sj,2010,6,16
sj,2010,7,25
sj,2010,8,24
sj,2010,9,19
sj,2010,10,22
sj,2010,11,26
sj,2010,12,18
sj,2010,13,17
sj,2010,14,14
sj,2010,15,10
sj,2010,16,11
sj,2010,17,21
sj,2010,18,12
sj,2010,19,8
sj,2010,20,6
sj,2010,21,7
sj,2010,22,18
sj,2010,23,17
sj,2010,24,14
sj,2010,25,12
sj,2010,26,11
sj,2010,27,22
sj,2010,28,15
sj,2010,29,8
sj,2010,30,5
sj,2010,31,15
sj,2010,32,5
sj,2010,33,14
sj,2010,34,7
sj,2010,35,18
sj,2010,36,7
sj,2010,37,17
sj,2010,38,11
sj,2010,39,15
sj,2010,40,7
sj,2010,41,22
sj,2010,42,10
sj,2010,43,19
sj,2010,44,7
sj,2010,45,12
sj,2010,46,16
sj,2010,47,16
sj,2010,48,26
sj,2010,49,6
sj,2010,50,4
sj,2010,51,20
sj,2011,52,23
sj,2011,1,8
sj,2011,2,37
sj,2011,3,9
sj,2011,4,28
sj,2011,5,5
sj,2011,6,19
sj,2011,7,6
sj,2011,8,7
sj,2011,9,32
sj,2011,10,22
sj,2011,11,5
sj,2011,12,7
sj,2011,13,32
sj,2011,14,21
sj,2011,15,12
sj,2011,16,3
sj,2011,17,13
sj,2011,18,12
sj,2011,19,12
sj,2011,20,7
sj,2011,21,24
sj,2011,22,29
sj,2011,23,6
sj,2011,24,17
sj,2011,25,11
sj,2011,26,3
sj,2011,27,7
sj,2011,28,8
sj,2011,29,24
sj,2011,30,30
sj,2011,31,28
sj,2011,32,33
sj,2011,33,31
sj,2011,34,30
sj,2011,35,23
sj,2011,36,29
sj,2011,37,24
sj,2011,38,26
sj,2011,39,19
sj,2011,40,19
sj,2011,41,11
sj,2011,42,19
sj,2011,43,15
sj,2011,44,22
sj,2011,45,5
sj,2011,46,6
sj,2011,47,22
sj,2011,48,15
sj,2011,49,5
sj,2011,50,24
sj,2011,51,4
sj,2012,52,17
sj,2012,1,12
sj,2012,2,10
sj,2012,3,9
sj,2012,4,17
sj,2012,5,5
sj,2012,6,2
sj,2012,7,14
sj,2012,8,3
sj,2012,9,8
sj,2012,10,3
sj,2012,11,6
sj,2012,12,2
sj,2012,13,4
sj,2012,14,5
sj,2012,15,10
sj,2012,16,7
sj,2012,17,6
sj,2012,18,7
sj,2012,19,5
sj,2012,20,7
sj,2012,21,5
sj,2012,22,5
sj,2012,23,7
sj,2012,24,4
sj,2012,25,8
sj,2012,26,2
sj,2012,27,7
sj,2012,28,7
sj,2012,29,0
sj,2012,30,6
sj,2012,31,2
sj,2012,32,5
sj,2012,33,5
sj,2012,34,8
sj,2012,35,5
sj,2012,36,5
sj,2012,37,5
sj,2012,38,4
sj,2012,39,7
sj,2012,40,7
sj,2012,41,9
sj,2012,42,7
sj,2012,43,4
sj,2012,44,7
sj,2012,45,5
sj,2012,46,7
sj,2012,47,6
sj,2012,48,11
sj,2012,49,5
sj,2012,50,4
sj,2012,51,6
sj,2013,1,2
sj,2013,2,7
sj,2013,3,2
sj,2013,4,8
sj,2013,5,1
sj,2013,6,7
sj,2013,7,2
sj,2013,8,8
sj,2013,9,4
sj,2013,10,5
sj,2013,11,6
sj,2013,12,3
sj,2013,13,2
sj,2013,14,7
sj,2013,15,4
sj,2013,16,7
sj,2013,17,2
iq,2010,26,6
iq,2010,27,2
iq,2010,28,4
iq,2010,29,2
iq,2010,30,3
iq,2010,31,7
iq,2010,32,2
iq,2010,33,4
iq,2010,34,6
iq,2010,35,2
iq,2010,36,2
iq,2010,37,17
iq,2010,38,12
iq,2010,39,20
iq,2010,40,9
iq,2010,41,17
iq,2010,42,7
iq,2010,43,14
iq,2010,44,4
iq,2010,45,16
iq,2010,46,5
iq,2010,47,5
iq,2010,48,15
iq,2010,49,5
iq,2010,50,16
iq,2010,51,9
iq,2011,52,6
iq,2011,1,9
iq,2011,2,4
iq,2011,3,3
iq,2011,4,8
iq,2011,5,9
iq,2011,6,3
iq,2011,7,3
iq,2011,8,9
iq,2011,9,3
iq,2011,10,7
iq,2011,11,3
iq,2011,12,8
iq,2011,13,2
iq,2011,14,7
iq,2011,15,6
iq,2011,16,4
iq,2011,17,3
iq,2011,18,6
iq,2011,19,4
iq,2011,20,3
iq,2011,21,2
iq,2011,22,1
iq,2011,23,4
iq,2011,24,4
iq,2011,25,2
iq,2011,26,1
iq,2011,27,4
iq,2011,28,2
iq,2011,29,2
iq,2011,30,3
iq,2011,31,3
iq,2011,32,2
iq,2011,33,3
iq,2011,34,3
iq,2011,35,4
iq,2011,36,3
iq,2011,37,3
iq,2011,38,0
iq,2011,39,2
iq,2011,40,3
iq,2011,41,3
iq,2011,42,2
iq,2011,43,4
iq,2011,44,4
iq,2011,45,2
iq,2011,46,4
iq,2011,47,5
iq,2011,48,4
iq,2011,49,4
iq,2011,50,4
iq,2011,51,5
iq,2012,52,5
iq,2012,1,3
iq,2012,2,3
iq,2012,3,5
iq,2012,4,2
iq,2012,5,4
iq,2012,6,4
iq,2012,7,4
iq,2012,8,6
iq,2012,9,5
iq,2012,10,3
iq,2012,11,4
iq,2012,12,4
iq,2012,13,2
iq,2012,14,4
iq,2012,15,1
iq,2012,16,5
iq,2012,17,2
iq,2012,18,4
iq,2012,19,2
iq,2012,20,5
iq,2012,21,2
iq,2012,22,5
iq,2012,23,4
iq,2012,24,2
iq,2012,25,1
iq,2012,26,5
iq,2012,27,3
iq,2012,28,2
iq,2012,29,2
iq,2012,30,2
iq,2012,31,3
iq,2012,32,2
iq,2012,33,1
iq,2012,34,2
iq,2012,35,6
iq,2012,36,8
iq,2012,37,6
iq,2012,38,5
iq,2012,39,5
iq,2012,40,6
iq,2012,41,8
iq,2012,42,4
iq,2012,43,8
iq,2012,44,4
iq,2012,45,4
iq,2012,46,7
iq,2012,47,4
iq,2012,48,8
iq,2012,49,7
iq,2012,50,4
iq,2012,51,7
iq,2013,1,3
iq,2013,2,4
iq,2013,3,7
iq,2013,4,4
iq,2013,5,3
iq,2013,6,6
iq,2013,7,2
iq,2013,8,3
iq,2013,9,6
iq,2013,10,6
iq,2013,11,3
iq,2013,12,4
iq,2013,13,3
iq,2013,14,4
iq,2013,15,2
iq,2013,16,4
iq,2013,17,1
iq,2013,18,7
iq,2013,19,4
iq,2013,20,2
iq,2013,21,3
iq,2013,22,3
iq,2013,23,3
iq,2013,24,1
iq,2013,25,2
iq,2013,26,3
